address,balance
0x959e2a4db1fA5d56B810759f2E6D80a01Eb9E892,535544086365
0xfa22ef75034825a82493336720E456F7aF3ad0Fa,817476307141
0xE66d55Cf5a621eDFf9374aA4865eB9f06A339C56,10111024207123
0x097A5DF71b3ada5936FECEDc6D7579E97d6e48a0,12458197366566
0x9C3ABFD8d827AD1907c4367a450f3235A2DBdc9c,2237569657031
0xc335C1CDC36b1AF70242A88d7f13Ea8D6a0d7C8c,0
0xF75d04B75fdd4f6E7Cacb60Dc6CEF401A82Fc2b5,13606910826738
0xD0453C1Cc9b69a106bB86bd0b8B784057632Db0C,2022204841420
0x483D65B84c3Ba64bde6e04cb04198EA60C7F88A2,201909029496
0x87D00EbFD95f8953cB76F8E3f15B5Be188401c92,0
0xea74E048cCEcd7ADE98491Fe9683a686BeE73aEc,880063546984
0x29cb104d28915e89981dfa7A437CCbCDdDD9D4Bb,68170557657336
0xC33e4E525026e02CF8b96c77767a9a23599c5Ea6,100205601329745
0x56af06B9DE44164A9Aa1971b57FF5d3ddfc3e9b6,7890845511721
0x3FB146D3392FcC4FF7fCFE1B87fbAC4b67645284,62182798871
0xff5A9C561F3E66fD1c234f7BDA763360f01c3f19,7532713034306
0xa81311e56630a9A21901415671A489A9985AC00E,2209786584716
0x42F24b1700aCEd807EEEEdfEE587e7b5C4249421,252775605173
0xb20f47653986e1689E55F97a5414BE2D749EA690,353076965308
0x74513150a7edF0c1A7e659940434343639774B20,6076169442146
0xaF051F9C2246d6ec9ab274173ACf4E9E051893fb,0
0x6AF03189F1e63aB195fF107dB4fF8D18C27ed88a,0
0xAA4706e60f74596E1F00d70B59744Aa2b2268Bb0,8439340000000
0x6976e43CbC4a6FeF48fe36Cec90E072e0175A6E0,1567410972584
0xBC4F4beB16Bd5494DCc3c45650C9548DdE4f3075,21202817762342
0x272a041b36E4a9bB9393F035e1928fe0ED53fE17,101110242068
0x78341326373Cb60E2663578db73A5c7ea89CebB5,101110242068
0xc03a1Fa13511d32b4CBA6d9B38Ca834010280195,0
0x9cf98e091a10e0Bb1C20B46fb9ba2B74F3Ed0D89,3816406086976
0xc21F96c48A6106b93Cb633EFE1AAfD28cAcF642F,7272966020694
0xccBcC956adee7896BC6c5aa87a6d09383edAcd55,1703858132051442
0x06BC2e436A605dccdFa98A9196ae1610014453C2,2023739694896
0xf29A7495045d047d1d47F0F731ef72535EF26540,10957923594711
0x7C35f329B87A0f026B68ab95fAD89cdb8ecC3511,6913615022103
0x82B55cC0C7334b15E146E4640D7054Ccd4a87f96,2052620824441
0x4b2b7deA3DF8E5c0577D43EF82695A9EceaC2aaa,85558475735
